0,0
40.0115756,-105.2450052, 2023-03-23 15:41:12
40.0115756,-105.2450052, 2023-03-23 15:41:13
40.0115756,-105.2450052, 2023-03-23 15:41:14
40.0115756,-105.2450052, 2023-03-23 15:41:15
40.0115756,-105.2450052, 2023-03-23 15:41:16
40.0115756,-105.2450052, 2023-03-23 15:41:17
40.0115756,-105.2450052, 2023-03-23 15:41:18
40.0115756,-105.2450052, 2023-03-23 15:41:19
40.0115756,-105.2450052, 2023-03-23 15:41:20
40.0115756,-105.2450052, 2023-03-23 15:41:21
40.0115756,-105.2450052, 2023-03-23 15:41:22
40.0115756,-105.2450052, 2023-03-23 15:41:23
40.0115756,-105.2450052, 2023-03-23 15:41:24
40.0115756,-105.2450052, 2023-03-23 15:41:25
40.0115756,-105.2450052, 2023-03-23 15:41:26
40.0115756,-105.2450052, 2023-03-23 15:41:27
40.0115756,-105.2450052, 2023-03-23 15:41:28
40.0115756,-105.2450052, 2023-03-23 15:41:29
40.0115756,-105.2450052, 2023-03-23 15:41:30
40.0115756,-105.2450052, 2023-03-23 15:41:31
40.0115756,-105.2450052, 2023-03-23 15:41:32
40.0115756,-105.2450052, 2023-03-23 15:41:33
40.0115756,-105.2450052, 2023-03-23 15:41:34
40.0115756,-105.2450052, 2023-03-23 15:41:35
40.0115756,-105.2450052, 2023-03-23 15:41:36
40.0115756,-105.2450052, 2023-03-23 15:41:37
40.0115756,-105.2450052, 2023-03-23 15:41:38
40.0115756,-105.2450052, 2023-03-23 15:41:39
40.0115756,-105.2450052, 2023-03-23 15:41:40
40.0115756,-105.2450052, 2023-03-23 15:41:41
40.0115756,-105.2450052, 2023-03-23 15:41:42
40.0115756,-105.2450052, 2023-03-23 15:41:43
40.0115756,-105.2450052, 2023-03-23 15:41:44
40.0115756,-105.2450052, 2023-03-23 15:41:45
40.0115756,-105.2450052, 2023-03-23 15:41:46
40.0115756,-105.2450052, 2023-03-23 15:41:47
40.0115756,-105.2450052, 2023-03-23 15:41:48
40.0115756,-105.2450052, 2023-03-23 15:41:49
40.0115756,-105.2450052, 2023-03-23 15:41:50
40.0115756,-105.2450052, 2023-03-23 15:41:51
40.0097551,-105.24409899999999, 2023-03-23 15:43:44
40.0097551,-105.24409899999999, 2023-03-23 15:43:45
40.0097551,-105.24409899999999, 2023-03-23 15:43:46
40.0097551,-105.24409899999999, 2023-03-23 15:43:47
40.0097551,-105.24409899999999, 2023-03-23 15:43:48
40.0097551,-105.24409899999999, 2023-03-23 15:43:49
40.0097551,-105.24409899999999, 2023-03-23 15:43:50
40.0097551,-105.24409899999999, 2023-03-23 15:43:51
40.0097551,-105.24409899999999, 2023-03-23 15:43:52
40.0097551,-105.24409899999999, 2023-03-23 15:43:53
40.0097551,-105.24409899999999, 2023-03-23 15:43:54
40.0097551,-105.24409899999999, 2023-03-23 15:43:55
40.0097551,-105.24409899999999, 2023-03-23 15:43:56
40.0097551,-105.24409899999999, 2023-03-23 15:43:57
40.0097551,-105.24409899999999, 2023-03-23 15:43:58
